unique_subj_id,modalities
dADNI_s00001,t1w_flair_bold
dADNI_s00002,t1w_flair_dti_bold
dADNI_s00003,t1w
dADNI_s00004,t1w
dADNI_s00005,t1w_flair_bold
dADNI_s00006,t1w_flair_bold
dADNI_s00007,t1w
dADNI_s00008,t1w
dADNI_s00009,t1w
dADNI_s00010,t1w
dADNI_s00011,t1w
dADNI_s00012,t1w
dADNI_s00013,t1w
dADNI_s00014,t1w_flair_dti_bold
dADNI_s00015,t1w_flair_dti_bold
dADNI_s00016,t1w_flair_bold
dADNI_s00017,t1w_flair_dti_bold
dADNI_s00018,t1w_flair_bold
dADNI_s00019,t1w_flair_bold
dADNI_s00020,t1w_flair_bold
dADNI_s00021,t1w_flair_bold
dADNI_s00022,t1w_flair_dti_bold
dADNI_s00023,t1w_flair_bold
dADNI_s00024,t1w_flair_dti_bold
dADNI_s00025,t1w_flair_dti_bold
dADNI_s00026,t1w_flair_bold
dADNI_s00027,t1w_flair_bold
dADNI_s00028,t1w_flair_bold
dADNI_s00029,t1w_flair_bold
dADNI_s00030,t1w_flair_bold
dADNI_s00031,t1w_flair_dti_bold
dADNI_s00032,t1w_flair_bold
dADNI_s00033,t1w_flair_dti_bold
dADNI_s00034,t1w_flair_bold
dADNI_s00035,t1w_flair_dti_bold
dADNI_s00036,t1w_flair_bold
dADNI_s00037,t1w_flair_dti_bold
dADNI_s00038,t1w_flair_dti_bold
dADNI_s00039,t1w_flair_bold
dADNI_s00040,t1w_flair_dti_bold
dADNI_s00041,t1w
dADNI_s00042,t1w
dADNI_s00043,t1w
dADNI_s00044,t1w
dADNI_s00045,t1w
dADNI_s00046,t1w_flair_dti_bold
dADNI_s00047,t1w
dADNI_s00048,t1w_flair_dti_bold
dADNI_s00049,t1w_flair_dti
dADNI_s00050,t1w_flair_dti_bold
dADNI_s00051,t1w_flair_dti
dADNI_s00052,t1w_flair_dti
dADNI_s00053,t1w_flair_dti_bold
dADNI_s00054,t1w_flair_dti_bold
dADNI_s00055,t1w_flair_dti_bold
dADNI_s00056,t1w_flair_dti
dADNI_s00057,t1w_flair_dti_bold
dADNI_s00058,t1w_flair_dti
dADNI_s00059,t1w_flair_dti
dADNI_s00060,t1w_flair_dti_bold
dADNI_s00061,t1w_flair_dti
dADNI_s00062,t1w_flair_dti
dADNI_s00063,t1w_flair_dti_bold
dADNI_s00064,t1w_flair_dti_bold
dADNI_s00065,t1w_flair_dti
dADNI_s00066,t1w_flair_dti
dADNI_s00067,t1w_flair_dti
dADNI_s00068,t1w
dADNI_s00069,t1w
dADNI_s00070,t1w
dADNI_s00071,t1w
dADNI_s00072,t1w
dADNI_s00073,t1w
dADNI_s00074,t1w
dADNI_s00075,t1w_flair_dti_bold
dADNI_s00076,t1w_flair_dti_bold
dADNI_s00077,t1w
dADNI_s00078,t1w
dADNI_s00079,t1w
dADNI_s00080,t1w
dADNI_s00081,t1w_flair_dti
dADNI_s00082,t1w_flair_dti_bold
dADNI_s00083,t1w_flair_dti
dADNI_s00084,t1w_flair_dti
dADNI_s00085,t1w_flair_dti
dADNI_s00086,t1w_flair_dti
dADNI_s00087,t1w
dADNI_s00088,t1w_flair_bold
dADNI_s00089,t1w
dADNI_s00090,t1w
dADNI_s00091,t1w
dADNI_s00092,t1w
dADNI_s00093,t1w_flair_bold
dADNI_s00094,t1w
dADNI_s00095,t1w_flair_bold
dADNI_s00096,t1w_flair_bold
dADNI_s00097,t1w_flair_bold
dADNI_s00098,t1w_flair_bold
dADNI_s00099,t1w_flair_bold
dADNI_s00100,t1w_flair_bold
dADNI_s00101,t1w_flair_bold
dADNI_s00102,t1w_flair_bold
dADNI_s00103,t1w_flair_bold
dADNI_s00104,t1w_flair_bold
dADNI_s00105,t1w_flair_bold
dADNI_s00106,t1w_flair_bold
dADNI_s00107,t1w_flair_bold
dADNI_s00108,t1w_flair_bold
dADNI_s00109,t1w
dADNI_s00110,t1w
dADNI_s00111,t1w
dADNI_s00112,t1w
dADNI_s00113,t1w
dADNI_s00114,t1w
dADNI_s00115,t1w
dADNI_s00116,t1w
dADNI_s00117,t1w
dADNI_s00118,t1w
dADNI_s00119,t1w
dADNI_s00120,t1w
dADNI_s00121,t1w_flair_dti_bold
dADNI_s00122,t1w
dADNI_s00123,t1w
dADNI_s00124,t1w_flair_dti
dADNI_s00125,t1w_flair_dti
dADNI_s00126,t1w_flair_dti_bold
dADNI_s00127,t1w_flair_dti_bold
dADNI_s00128,t1w_flair_dti_bold
dADNI_s00129,t1w_flair_dti
dADNI_s00130,t1w_flair_dti_bold
dADNI_s00131,t1w_flair_dti
dADNI_s00132,t1w_flair_dti
dADNI_s00133,t1w_flair_dti_bold
dADNI_s00134,t1w_flair_dti_bold
dADNI_s00135,t1w_flair_dti_bold
dADNI_s00136,t1w_flair_dti_bold
dADNI_s00137,t1w_flair_dti
dADNI_s00138,t1w_flair
dADNI_s00139,t1w
dADNI_s00140,t1w
dADNI_s00141,t1w
dADNI_s00142,t1w
dADNI_s00143,t1w_flair
dADNI_s00144,t1w_flair
dADNI_s00145,t1w_flair_dti
dADNI_s00146,t1w_flair
dADNI_s00147,t1w_flair
dADNI_s00148,t1w_flair_dti
dADNI_s00149,t1w_flair
dADNI_s00150,t1w_flair
dADNI_s00151,t1w_flair
dADNI_s00152,t1w_flair_dti
dADNI_s00153,t1w_flair
dADNI_s00154,t1w_flair
dADNI_s00155,t1w_flair
dADNI_s00156,t1w_flair
dADNI_s00157,t1w_flair
dADNI_s00158,t1w_flair
dADNI_s00159,t1w_flair
dADNI_s00160,t1w_flair
dADNI_s00161,t1w_flair
dADNI_s00162,t1w_flair_dti
dADNI_s00163,t1w_flair
dADNI_s00164,t1w_flair
dADNI_s00165,t1w
dADNI_s00166,t1w
dADNI_s00167,t1w_flair_dti_bold
dADNI_s00168,t1w
dADNI_s00169,t1w
dADNI_s00170,t1w
dADNI_s00171,t1w
dADNI_s00172,t1w
dADNI_s00173,t1w
dADNI_s00174,t1w_flair_bold
dADNI_s00175,t1w_flair_bold
dADNI_s00176,t1w
dADNI_s00177,t1w
dADNI_s00178,t1w
dADNI_s00179,t1w
dADNI_s00180,t1w
dADNI_s00181,t1w
dADNI_s00182,t1w_flair
dADNI_s00183,t1w
dADNI_s00184,t1w_flair
dADNI_s00185,t1w
dADNI_s00186,t1w
dADNI_s00187,t1w
dADNI_s00188,t1w
dADNI_s00189,t1w
dADNI_s00190,t1w
dADNI_s00191,t1w
dADNI_s00192,t1w_flair
dADNI_s00193,t1w_flair
dADNI_s00194,t1w_flair
dADNI_s00195,t1w_flair_dti_bold
dADNI_s00196,t1w_flair
dADNI_s00197,t1w_flair
dADNI_s00198,t1w_flair
dADNI_s00199,t1w_flair_dti_bold
dADNI_s00200,t1w_flair
dADNI_s00201,t1w_flair_dti_bold
dADNI_s00202,t1w_flair
dADNI_s00203,t1w_flair
dADNI_s00204,t1w_flair_dti_bold
dADNI_s00205,t1w_flair
dADNI_s00206,t1w_flair
dADNI_s00207,t1w_flair
dADNI_s00208,t1w
dADNI_s00209,t1w
dADNI_s00210,t1w
dADNI_s00211,t1w
dADNI_s00212,t1w
dADNI_s00213,t1w
dADNI_s00214,t1w
dADNI_s00215,t1w
dADNI_s00216,t1w
dADNI_s00217,t1w
dADNI_s00218,t1w
dADNI_s00219,t1w
dADNI_s00220,t1w
dADNI_s00221,t1w
dADNI_s00222,t1w
dADNI_s00223,t1w
dADNI_s00224,t1w_flair_bold
dADNI_s00225,t1w_flair_bold
dADNI_s00226,t1w_flair_dti_bold
dADNI_s00227,t1w_flair_bold
dADNI_s00228,t1w_flair_dti_bold
dADNI_s00229,t1w_flair_bold
dADNI_s00230,t1w_flair_dti_bold
dADNI_s00231,t1w_flair_bold
dADNI_s00232,t1w_flair_bold
dADNI_s00233,t1w_flair_dti_bold
dADNI_s00234,t1w_flair_dti_bold
dADNI_s00235,t1w_flair_bold
dADNI_s00236,t1w
dADNI_s00237,t1w
dADNI_s00238,t1w
dADNI_s00239,t1w
dADNI_s00240,t1w
dADNI_s00241,t1w
dADNI_s00242,t1w
dADNI_s00243,t1w
dADNI_s00244,t1w
dADNI_s00245,t1w_flair_bold
dADNI_s00246,t1w
dADNI_s00247,t1w
dADNI_s00248,t1w
dADNI_s00249,t1w_flair_bold
dADNI_s00250,t1w_flair_dti_bold
dADNI_s00251,t1w_flair_dti_bold
dADNI_s00252,t1w_flair_bold
dADNI_s00253,t1w_flair_bold
dADNI_s00254,t1w_flair_dti_bold
dADNI_s00255,t1w_flair_bold
dADNI_s00256,t1w_flair_bold
dADNI_s00257,t1w_flair_bold
dADNI_s00258,t1w_flair
dADNI_s00259,t1w_flair_bold
dADNI_s00260,t1w_flair_bold
dADNI_s00261,t1w_flair_bold
dADNI_s00262,t1w
dADNI_s00263,t1w
dADNI_s00264,t1w
dADNI_s00265,t1w
dADNI_s00266,t1w
dADNI_s00267,t1w
dADNI_s00268,t1w
dADNI_s00269,t1w
dADNI_s00270,t1w
dADNI_s00271,t1w_flair
dADNI_s00272,t1w_flair_dti_bold
dADNI_s00273,t1w_flair
dADNI_s00274,t1w_flair
dADNI_s00275,t1w_flair
